date_id,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend,fiscal_year
20221017,2022-10-17,17.0,10,October,Q4,2022,Monday,False,FY2023
20230130,2023-01-30,30.0,1,January,Q1,2023,Monday,False,fy2023
20241107,2024-11-07,7.0,11,november,  q4,2024,Thursday,False,  FY2025
20230816,2023-08-16,16.0,8,August,  Q3  ,2023,Wednesday,False,FY2024
20220329,2022-03-29,29.0,3,March,Q1,2022,Tuesday,False,FY2022
20231219,2023-12-19,19.0,12,December,Q4,2023,Tuesday,False,FY2024
20211107,2021-11-07,7.0,11,November,Q4,2021,Sunday,True,FY2022
20220502,2022-05-02,2.0,5,May,Q2,2022,  Monday  ,,FY2023
20210820,2021-08-20,20.0,8,August,Q3,2021,Friday,False,FY2022
20221207,2022-12-07,7.0,12,december,Q4,2022,Wednesday,False,FY2023
20241206,2024-12-06,6.0,12,December   ,Q4,2024,Friday,False,FY2025
20210329,2021-03-29,,3,March,Q1,2021,monday   ,False,FY2021
20240228,2024-02-28,28.0,2,February,Q1,2024,WEDNESDAY,False,FY2024
20211010,2021-10-10,10.0,10,October,Q4,2021,SUNDAY,True,FY2022
20240626,2024-06-26,26.0,6,june,Q2,2024,Wednesday,False,FY2025
20220913,2022-09-13,13.0,9,  September  ,Q3,2022,Tuesday,False,FY2023
20211029,2021-10-29,29.0,10,October,Q4,2021,Friday,False,FY2022
20241008,2024-10-08,8.0,10,October,Q4,2024,Tuesday,False,FY2025
20210218,2021-02-18,18.0,2,February,q1,2021,Thursday,False,FY2021
20210518,2021-05-18,18.0,5,May,q2,2021,TUESDAY,False,FY2022
20220929,2022-09-29,29.0,9,September,Q3,2022,Thursday,False,FY2023
20210501,2021-05-01,1.0,5,May,Q2,2021,Saturday,True,FY2022
20220803,2022-08-03,3.0,8,August,Q3,2022,Wednesday,False,FY2023
20210710,2021-07-10,10.0,7,July,Q3,2021,Saturday   ,True,FY2022
20231024,2023-10-24,24.0,10,October,Q4,2023,Tuesday,False,FY2024
20210628,2021-06-28,28.0,6,June,Q2,2021,monday   ,,FY2022
20240901,2024-09-01,1.0,9,September,Q3,2024,Sunday,True,FY2025
